Manufacturer,"Model Number",Name,"Product Line",Created,Certification,Tested,RV,Expires,Reason
"Atelier Go-Elan, Inc.",ZZ-1708-7-CD,"7' Sectional slide 90° Right","Glissoires / Slides",2017-07-12,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2016-05-02,27260,2020-12-31,"Expires 4 years after test"
"Atelier Go-Elan, Inc.",ZZ-1708-7-AD,"7' Sectional slide 45° Right","Glissoires / Slides",2017-07-12,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2016-05-02,27260,2020-12-31,"Expires 4 years after test"
"Atelier Go-Elan, Inc.",ZZ-1708-6-AD,"6' Sectional slide 45° Right","Glissoires / Slides",2017-07-12,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2016-05-02,27260,2020-12-31,"Expires 4 years after test"
"Atelier Go-Elan, Inc.",ZZ-1708-8-AD,"8' Sectional slide 45° Right","Glissoires / Slides",2017-07-12,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2016-05-02,27260,2020-12-31,"Expires 4 years after test"
"Atelier Go-Elan, Inc.",PZ-M022,"Flower Bedrock","Modules de Jeux / Playstructures",2017-07-12,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2017-06-20,33387,2020-12-31,"Expires 3 years after test"
"Atelier Go-Elan, Inc.",ZX-1412-G,"Bedrock (5)","Modules de Jeux / Playstructures",2017-07-12,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2017-06-20,33387,2020-12-31,"Expires 3 years after test"
"Atelier Go-Elan, Inc.",ZX-1412-H-12,"Bedrock @ 12""","Modules de Jeux / Playstructures",2017-07-12,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2017-06-20,33387,2020-12-31,"Expires 3 years after test"
"Atelier Go-Elan, Inc.",ZX-1412-H-16,"Bedrock @ 16'","Modules de Jeux / Playstructures",2017-07-12,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2017-06-20,33387,2020-12-31,"Expires 3 years after test"
"Atelier Go-Elan, Inc.",RM-26,"Bedrock (6)","Rase-mottes / Go-Hop",2017-07-12,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2017-06-20,33387,2020-12-31,"Expires 3 years after test"
"Atelier Go-Elan, Inc.",RM-33,"Bedrock (3)","Rase-mottes / Go-Hop",2017-07-12,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2017-06-20,33387,2020-12-31,"Expires 3 years after test"
"Atelier Go-Elan, Inc.",RM-37,"Bedrock (5)","Rase-mottes / Go-Hop",2017-07-12,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2017-06-20,33387,2020-12-31,"Expires 3 years after test"
"Atelier Go-Elan, Inc.",ZX-1412-12,"Bedrock (5) @ 12""","Modules de Jeux / Playstructures",2017-07-12,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2017-06-20,33387,2020-12-31,"Expires 3 years after test"
"Atelier Go-Elan, Inc.",ZX-1412-16,"Bedrock (5) @ 16""","Modules de Jeux / Playstructures",2017-07-12,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2017-06-20,33387,2020-12-31,"Expires 3 years after test"
"Atelier Go-Elan, Inc.",ZX-1412-C,"Bedrock (3)","Modules de Jeux / Playstructures",2017-07-12,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2017-06-20,33387,2020-12-31,"Expires 3 years after test"
"Atelier Go-Elan, Inc.",RM-36,Bedrock,"Rase-mottes / Go-Hop",2017-07-12,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2017-06-20,33387,2020-12-31,"Expires 3 years after test"
"Atelier Go-Elan, Inc.",ZX-1412-F,"Bedrock (4)","Modules de Jeux / Playstructures",2017-07-12,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2017-06-20,33387,2020-12-31,"Expires 3 years after test"
"Atelier Go-Elan, Inc.",ZB-2936,"Steel frame (LOW)","Modules de Jeux / Playstructures",2017-07-12,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2017-02-16,31675,2021-12-31,"Expires 4 years after test"
"Atelier Go-Elan, Inc.",ZP-0938,"Steel Frame (LOW)","Modules de Jeux / Playstructures",2017-07-12,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2017-02-16,31675,2021-12-31,"Expires 4 years after test"
"Atelier Go-Elan, Inc.",ZP-2938,"Dino steel frame","Modules de Jeux / Playstructures",2017-07-12,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2017-02-16,31675,2021-12-31,"Expires 4 years after test"
"Atelier Go-Elan, Inc.",ZB-2935,"Steel frame (LOW)","Modules de Jeux / Playstructures",2017-07-12,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2017-02-16,31675,2021-12-31,"Expires 4 years after test"
"Atelier Go-Elan, Inc.",ZB-2938,"Steel frame (LOW)","Modules de Jeux / Playstructures",2017-07-12,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2017-02-16,31675,2021-12-31,"Expires 4 years after test"
"Atelier Go-Elan, Inc.",ZP-2935,"Steel Frame","Modules de Jeux / Playstructures",2017-07-12,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2017-02-16,31675,2021-12-31,"Expires 4 years after test"
"Atelier Go-Elan, Inc.",ZX-1163-3,Cable,"Modules de Jeux / Playstructures",2017-07-12,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2017-02-14,31642,2021-12-31,"Expires 4 years after test"
"Atelier Go-Elan, Inc.",ZX-1163-6,Cable,"Modules de Jeux / Playstructures",2017-07-12,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2017-02-14,31642,2021-12-31,"Expires 4 years after test"
"Atelier Go-Elan, Inc.",ZX-1163-5,Cable,"Modules de Jeux / Playstructures",2017-07-12,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2017-02-14,31642,2021-12-31,"Expires 4 years after test"
"Atelier Go-Elan, Inc.",ZX-1163-4,Cable,"Modules de Jeux / Playstructures",2017-07-12,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2017-02-14,31642,2021-12-31,"Expires 4 years after test"
"Atelier Go-Elan, Inc.",ZX-1163-3,Cable,"Modules de Jeux / Playstructures",2017-07-12,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2017-02-14,31642,2021-12-31,"Expires 4 years after test"
"Atelier Go-Elan, Inc.",ZX-1163-5,Cable,"Modules de Jeux / Playstructures",2017-07-12,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2017-02-14,31642,2021-12-31,"Expires 4 years after test"
"Atelier Go-Elan, Inc.",ZX-1163-4,Cable,"Modules de Jeux / Playstructures",2017-07-12,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2017-02-14,31642,2021-12-31,"Expires 4 years after test"
"Atelier Go-Elan, Inc.",RM-20,"Balance cable","Rase-mottes / Go-Hop",2017-07-12,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2017-02-14,31642,2021-12-31,"Expires 4 years after test"
"BCI Burke Co., LLC",570-0811,"Braille Panel",Nucleus,2017-07-12,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2016-11-28,29774,2021-12-31,"Family expires 2020-12-31"
"BCI Burke Co., LLC",570-0812,"Braille Panel, G/L",Nucleus,2017-07-12,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2016-11-28,29774,2021-12-31,"Family expires 2020-12-31"
"BCI Burke Co., LLC",570-1707,"Age Sign Panel 2-12",Nucleus,2012-05-16,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2016-11-28,29774,2021-12-31,"Family expires 2020-12-31"
"BCI Burke Co., LLC",570-1708,"Age Sign Panel 2-5",Nucleus,2012-05-16,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2016-11-28,29774,2021-12-31,"Family expires 2020-12-31"
"BCI Burke Co., LLC",570-0706,"Age Sign Panel 5-12, G/L",Nucleus,2012-05-16,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2016-11-28,29774,2021-12-31,"Family expires 2020-12-31"
"BCI Burke Co., LLC",570-0707,"Age Sign Panel 2-12, G/L",Nucleus,2012-05-16,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2016-11-28,29774,2021-12-31,"Family expires 2020-12-31"
"BCI Burke Co., LLC",570-0708,"Age Sign Panel 2-5, G/L",Nucleus,2012-05-16,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2016-11-28,29774,2021-12-31,"Family expires 2020-12-31"
"BCI Burke Co., LLC",570-1706,"Age Sign Panel 5-12",Nucleus,2012-05-16,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2016-11-28,29774,2021-12-31,"Family expires 2020-12-31"
"BCI Burke Co., LLC",570-0628,Panel,Nucleus,2011-06-16,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2016-11-28,29774,2021-12-31,"Family expires 2020-12-31"
"BCI Burke Co., LLC",570-0679,"G/L Sprocket Panel",Nucleus,2011-05-21,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2016-11-28,29774,2021-12-31,"Family expires 2020-12-31"
"BCI Burke Co., LLC",570-0683,"G/L Paratroop Panel",Nucleus,2011-05-21,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2016-11-28,29774,2021-12-31,"Family expires 2020-12-31"
"BCI Burke Co., LLC",570-1679,"Sprocket Panel",Nucleus,2011-05-21,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2016-11-28,29774,2021-12-31,"Family expires 2020-12-31"
"BCI Burke Co., LLC",570-1683,"Paratroop Panel",Nucleus,2011-05-21,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2016-11-28,29774,2021-12-31,"Family expires 2020-12-31"
"BCI Burke Co., LLC",350-0628,Panel,Nucleus,2011-02-01,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2016-11-28,29774,2021-12-31,"Family expires 2020-12-31"
"BCI Burke Co., LLC",570-0584,"Custom Arch Sign",Nucleus,2010-02-02,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2016-11-28,29774,2021-12-31,"Family expires 2020-12-31"
"BCI Burke Co., LLC",570-0556,"Window Panel, below platform",Nucleus,2009-12-06,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2016-11-28,29774,2021-12-31,"Family expires 2020-12-31"
"BCI Burke Co., LLC",570-1556,"Window Panel, Above Panel",Nucleus,2009-12-06,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2016-11-28,29774,2021-12-31,"Family expires 2020-12-31"
"BCI Burke Co., LLC",570-0619,"Wheel of Fun Panel, Below Platform",Nucleus,2009-09-26,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2016-11-28,29774,2021-12-31,"Family expires 2020-12-31"
"BCI Burke Co., LLC",570-1615,"Drum Panel",Nucleus,2009-09-26,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2016-11-28,29774,2021-12-31,"Family expires 2020-12-31"
"BCI Burke Co., LLC",570-0615,"Drum Panel, Below Platform",Nucleus,2009-09-26,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2016-11-28,29774,2021-12-31,"Family expires 2020-12-31"
"BCI Burke Co., LLC",570-0616,"Single Large Drum Panel, Below Platform",Nucleus,2009-09-26,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2016-11-28,29774,2021-12-31,"Family expires 2020-12-31"
"BCI Burke Co., LLC",570-1616,"Single Large Drum Panel, Above Platform",Nucleus,2009-09-26,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2016-11-28,29774,2021-12-31,"Family expires 2020-12-31"
"BCI Burke Co., LLC",570-1619,"Wheel of Fun Panel",Nucleus,2009-09-26,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2016-11-28,29774,2021-12-31,"Family expires 2020-12-31"
"BCI Burke Co., LLC",570-1547,"Chimes Panel, Above Platform",Nucleus,2009-09-26,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2016-11-28,29774,2021-12-31,"Family expires 2020-12-31"
"BCI Burke Co., LLC",570-0573,"Name the States Panel, Below Platform",Nucleus,2009-09-26,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2016-11-28,29774,2021-12-31,"Family expires 2020-12-31"
"BCI Burke Co., LLC",570-0578,"Name the States Panel, Above Platform",Nucleus,2009-09-26,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2016-11-28,29774,2021-12-31,"Family expires 2020-12-31"
"BCI Burke Co., LLC",570-0547,"Chimes Panel, Below Platform",Nucleus,2009-09-26,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2016-11-28,29774,2021-12-31,"Family expires 2020-12-31"
"BCI Burke Co., LLC",570-1550,"Barrier Panel, Above Platform",Nucleus,2009-09-26,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2016-11-28,29774,2020-12-31,"Expires 4 years after test"
"BCI Burke Co., LLC",675-0148,"Aluminum Roof Post, 5"" x 220""",Nucleus,2009-09-26,"ASTM F1487-17",2016-12-01,29878,2023-12-31,"Expires 7 years after test"
"BCI Burke Co., LLC",675-0148,"Aluminum Roof Post, 5"" x 220""",Nucleus,2009-09-26,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2016-12-01,29878,2023-12-31,"Expires 7 years after test"
"BCI Burke Co., LLC",675-0016,"Aluminum Roof Post, 5"" x 147""",Nucleus,2009-09-26,"ASTM F1487-17",2016-12-01,29878,2023-12-31,"Expires 7 years after test"
"BCI Burke Co., LLC",675-0016,"Aluminum Roof Post, 5"" x 147""",Nucleus,2009-09-26,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2016-12-01,29878,2023-12-31,"Expires 7 years after test"
"BCI Burke Co., LLC",675-0017,"Aluminum Roof Post, 5"" x 171""",Nucleus,2009-09-26,"ASTM F1487-17",2016-12-01,29878,2023-12-31,"Expires 7 years after test"
"BCI Burke Co., LLC",675-0017,"Aluminum Roof Post, 5"" x 171""",Nucleus,2009-09-26,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2016-12-01,29878,2023-12-31,"Expires 7 years after test"
"BCI Burke Co., LLC",675-0132,"Aluminum Roof Post, 5"" x 158""",Nucleus,2009-09-26,"ASTM F1487-17",2016-12-01,29878,2023-12-31,"Expires 7 years after test"
"BCI Burke Co., LLC",675-0132,"Aluminum Roof Post, 5"" x 158""",Nucleus,2009-09-26,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2016-12-01,29878,2023-12-31,"Expires 7 years after test"
"BCI Burke Co., LLC",675-0147,"Aluminum Roof Post, 5"" x 197""",Nucleus,2009-09-26,"ASTM F1487-17",2016-12-01,29878,2023-12-31,"Expires 7 years after test"
"BCI Burke Co., LLC",675-0147,"Aluminum Roof Post, 5"" x 197""",Nucleus,2009-09-26,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2016-12-01,29878,2023-12-31,"Expires 7 years after test"
"BCI Burke Co., LLC",550-0137,"Arch Tire Swing, 5""","Burke Basics",2017-07-12,"ASTM F1487-17",2017-04-03,32417,2020-12-31,"Expires 3 years after test"
"BCI Burke Co., LLC",550-0137,"Arch Tire Swing, 5""","Burke Basics",2017-07-12,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2017-04-03,32417,2020-12-31,"Expires 3 years after test"
"BCI Burke Co., LLC",550-0138,"Arch Tire Swing add-on, 5""","Burke Basics",2017-07-12,"ASTM F1487-17",2017-04-03,32417,2020-12-31,"Expires 3 years after test"
"BCI Burke Co., LLC",550-0138,"Arch Tire Swing add-on, 5""","Burke Basics",2017-07-12,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2017-04-03,32417,2020-12-31,"Expires 3 years after test"
"BCI Burke Co., LLC",550-0097,"F/S Tire Swing Assembly","Burke Basics",2010-04-02,"ASTM F1487-17",2017-04-03,32417,2020-12-31,"Expires 3 years after test"
"BCI Burke Co., LLC",550-0097,"F/S Tire Swing Assembly","Burke Basics",2010-04-02,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2017-04-03,32417,2020-12-31,"Expires 3 years after test"
"BCI Burke Co., LLC",550-0098,"F/S Tire Swing Add-on","Burke Basics",2010-04-02,"ASTM F1487-17",2017-04-03,32417,2020-12-31,"Expires 3 years after test"
"BCI Burke Co., LLC",550-0098,"F/S Tire Swing Add-on","Burke Basics",2010-04-02,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2017-04-03,32417,2020-12-31,"Expires 3 years after test"
"BCI Burke Co., LLC",370-1581,"Fierce Cyclone Spinner",Intensity,2017-07-12,"ASTM F1487-17",2017-04-05,32464,2020-12-31,"Expires 3 years after test"
"BCI Burke Co., LLC",370-1581,"Fierce Cyclone Spinner",Intensity,2017-07-12,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2017-04-05,32464,2020-12-31,"Expires 3 years after test"
"BCI Burke Co., LLC",370-1588,"Extreme Cyclone Spinner",Intensity,2017-07-12,"ASTM F1487-17",2017-04-05,32464,2020-12-31,"Expires 3 years after test"
"BCI Burke Co., LLC",370-1588,"Extreme Cyclone Spinner",Intensity,2017-07-12,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2017-04-05,32464,2020-12-31,"Expires 3 years after test"
"BCI Burke Co., LLC",430-0637,"Velo Slide, 64""- 72""",Voltage,2017-07-12,"ASTM F1487-17",2017-04-27,32841,2020-12-31,"Expires 3 years after test"
"BCI Burke Co., LLC",430-0637,"Velo Slide, 64""- 72""",Voltage,2017-07-12,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2017-04-27,32841,2020-12-31,"Expires 3 years after test"
"BCI Burke Co., LLC",430-0524,"Rock 'n Roll Slide, 40""- 48""",Voltage,2017-07-12,"ASTM F1487-17",2017-04-27,32841,2020-12-31,"Expires 3 years after test"
"BCI Burke Co., LLC",430-0524,"Rock 'n Roll Slide, 40""- 48""",Voltage,2017-07-12,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2017-04-27,32841,2020-12-31,"Expires 3 years after test"
"BCI Burke Co., LLC",430-0528,"Rock 'n Roll Slide, 24""- 32""",Voltage,2017-07-12,"ASTM F1487-17",2017-04-27,32841,2020-12-31,"Expires 3 years after test"
"BCI Burke Co., LLC",430-0528,"Rock 'n Roll Slide, 24""- 32""",Voltage,2017-07-12,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2017-04-27,32841,2020-12-31,"Expires 3 years after test"
"BCI Burke Co., LLC",430-0619,"Rock 'n Roll Slide, 64""- 72""",Voltage,2017-07-12,"ASTM F1487-17",2017-04-27,32841,2020-12-31,"Expires 3 years after test"
"BCI Burke Co., LLC",430-0619,"Rock 'n Roll Slide, 64""- 72""",Voltage,2017-07-12,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2017-04-27,32841,2020-12-31,"Expires 3 years after test"
"BCI Burke Co., LLC",570-2696,"Duckling Rocker","Burke Basics",2019-04-16,"ASTM F1487-17",2019-04-23,81648,2019-12-31,"Expires 0 years after test"
"BCI Burke Co., LLC",570-2696,"Duckling Rocker","Burke Basics",2019-04-16,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2019-04-23,81648,2019-12-31,"Expires 0 years after test"
"BCI Burke Co., LLC",570-2695,"Dolphin Rocker","Burke Basics",2019-04-16,"ASTM F1487-17",2019-04-23,81648,2019-12-31,"Expires 0 years after test"
"BCI Burke Co., LLC",570-2695,"Dolphin Rocker","Burke Basics",2019-04-16,"CAN/CSA Z-614-14, Update No. 1, Sept. 2016",2019-04-23,81648,2019-12-31,"Expires 0 years after test"
